query,query_set_id
cat christmas bow tie,top_queries
blue pro scooter,top_queries
costumes capes,top_queries
graco rac x guard,top_queries
games programming in python,top_queries
pumpkin push ins,top_queries
race car onesie,top_queries
leggins termicos mujer sin costuras,top_queries
no slip commercial rugs,top_queries
arc fault breakers 15 amp,top_queries
wood stove insert,top_queries
gelly roll stardust,top_queries
瞬間せっちゃくざい 白くならない,top_queries
personalized christmas graphic raglan t shirt,top_queries
天使の涙,top_queries
