query,document,judgment
bambu utensil set,B07FMBF7R8,1.0
bambu utensil set,B07FVRDRJ6,0.1
bambu utensil set,B07YQBQLZD,1.0
bambu utensil set,B07JFMQ2ZC,1.0
bambu utensil set,B07L6PZ7ZX,1.0
bambu utensil set,B07MGVXFWJ,1.0
bambu utensil set,B07G1ZK499,1.0
bambu utensil set,B07RK6T93J,1.0
bambu utensil set,B07SFTFL1S,1.0
bambu utensil set,B07SX9JR78,1.0
bambu utensil set,B07T4GNLBP,0.1
bambu utensil set,B07TBGSZ4G,1.0
bambu utensil set,B07V6RTR28,1.0
bambu utensil set,B07VNR3W67,1.0
bambu utensil set,B07XL13SN8,1.0
bambu utensil set,B07MJ8VFLR,1.0
barbie puppy movies,B07TD6KQGV,1.0
barbie puppy movies,B07S8YKFDW,1.0
barbie puppy movies,B06XGG7V6D,1.0
barbie puppy movies,B01M3O5FQD,1.0
barbie puppy movies,B01J3FDJBY,1.0
barbie puppy movies,B01J2ICD3M,1.0
barbie puppy movies,B01HIQ3TO2,0.1
barbie puppy movies,B07FYWFN85,0.1
barbie puppy movies,B019GY79UO,1.0
barbie puppy movies,B016I29N3I,1.0
barbie puppy movies,B013HY6KQ8,1.0
barbie puppy movies,B00ZR3W45O,0.1
barbie puppy movies,B00NM6VD9Q,0.1
barbie puppy movies,B00E95AEBC,0.1
barbie puppy movies,B00BLH43VS,0.1
barbie puppy movies,B01BO4021M,0.1
baseball shirt 6 under armour,B07WRDQ7XH,0.0
baseball shirt 6 under armour,B07TJWJCSR,1.0
baseball shirt 6 under armour,B07T5GZG6G,1.0
baseball shirt 6 under armour,B07T5GMQBB,1.0
baseball shirt 6 under armour,B07PS6ZCPS,1.0
baseball shirt 6 under armour,B07NBT9DWW,0.1
baseball shirt 6 under armour,B07N9Q46XQ,1.0
baseball shirt 6 under armour,B07N9M3BV7,0.01
baseball shirt 6 under armour,B07L1XKF9J,1.0
baseball shirt 6 under armour,B07CZK2Y18,1.0
baseball shirt 6 under armour,B0785VXRX2,0.0
baseball shirt 6 under armour,B077XTVWCD,1.0
baseball shirt 6 under armour,B071P2PR7G,0.0
baseball shirt 6 under armour,B071F9L8Z6,1.0
baseball shirt 6 under armour,B017EZZEEU,0.0
baseball shirt 6 under armour,B07H31J9Q5,1.0
battery samsung galaxy s7 edge,B085L25ZPV,1.0
battery samsung galaxy s7 edge,B07ZJ5P6YT,1.0
battery samsung galaxy s7 edge,B07VS7S2XG,1.0
battery samsung galaxy s7 edge,B07VG8MQXF,1.0
battery samsung galaxy s7 edge,B07T2X13DG,1.0
battery samsung galaxy s7 edge,B07R5XHNCT,1.0
battery samsung galaxy s7 edge,B07MLNTMPJ,1.0
battery samsung galaxy s7 edge,B087BL1WWP,1.0
battery samsung galaxy s7 edge,B07HNMP35L,1.0
battery samsung galaxy s7 edge,B07HF789CV,1.0
battery samsung galaxy s7 edge,B07DN8FJSD,1.0
battery samsung galaxy s7 edge,B07D9S9SLM,1.0
battery samsung galaxy s7 edge,B072MNMHYD,1.0
battery samsung galaxy s7 edge,B0194WDVHI,0.1
battery samsung galaxy s7 edge,B07M7V27TM,1.0
beeswax wood polish,B08888Y2F7,1.0
beeswax wood polish,B085DQX12T,1.0
beeswax wood polish,B085DMTYYS,1.0
beeswax wood polish,B0859X4N9M,1.0
beeswax wood polish,B083TKR7JK,1.0
beeswax wood polish,B083P51JKS,1.0
beeswax wood polish,B083B7NJ37,1.0
beeswax wood polish,B085F1XT1R,1.0
beeswax wood polish,B0832GK4M5,1.0
beeswax wood polish,B082KT4Y26,1.0
beeswax wood polish,B07ZQBDG73,1.0
beeswax wood polish,B07XC8HQ2T,1.0
beeswax wood polish,B07X1QN4N3,1.0
beeswax wood polish,B0046VZG30,1.0
beeswax wood polish,B001BKQYGW,1.0
beeswax wood polish,B0834KX316,1.0
belief without borders,B01F84XLNK,0.1
belief without borders,B019E75W7A,0.1
belief without borders,B00HYZN6UK,1.0
belief without borders,B00ET5Q2UO,0.1
belief without borders,B00ESJE2LM,0.1
belief without borders,B00ESJ3TAW,0.0
belief without borders,B009B0ZH1W,0.0
belief without borders,B07GVQ9KKK,0.0
belief without borders,1499638809,0.1
belief without borders,B007HI3AVY,0.0
belief without borders,0062936263,0.1
belief without borders,0226519929,0.1
belief without borders,0764230166,0.1
belief without borders,0857986155,0.0
belief without borders,0937827037,1.0
belief without borders,0991011333,0.1
best ride on cars mercedes 3-in-1 push car in white,B08BZHG931,1.0
best ride on cars mercedes 3-in-1 push car in white,B088YVN8VX,0.1
best ride on cars mercedes 3-in-1 push car in white,B0872WXM3G,1.0
best ride on cars mercedes 3-in-1 push car in white,B08461MPYY,1.0
best ride on cars mercedes 3-in-1 push car in white,B081RH7BZH,0.1
best ride on cars mercedes 3-in-1 push car in white,B07YMSB9F7,1.0
best ride on cars mercedes 3-in-1 push car in white,B07WFX9RBG,0.1
best ride on cars mercedes 3-in-1 push car in white,B07T3HBG2C,1.0
best ride on cars mercedes 3-in-1 push car in white,B07F2MQFP7,1.0
best ride on cars mercedes 3-in-1 push car in white,B07L117K6P,1.0
best ride on cars mercedes 3-in-1 push car in white,B073WKJWMX,1.0
best ride on cars mercedes 3-in-1 push car in white,B01MDR5H9F,1.0
best ride on cars mercedes 3-in-1 push car in white,B01LDFIEHQ,1.0
best ride on cars mercedes 3-in-1 push car in white,B00V3ZWQWQ,1.0
best ride on cars mercedes 3-in-1 push car in white,B00JBYNFL2,1.0
best ride on cars mercedes 3-in-1 push car in white,B07L52MVFL,1.0
black and white checkered curtains 2 panels,B08DHXZV3X,1.0
black and white checkered curtains 2 panels,B08BYN3Z8Y,1.0
black and white checkered curtains 2 panels,B083DPHBF8,1.0
black and white checkered curtains 2 panels,B0836YZLQR,1.0
black and white checkered curtains 2 panels,B07TSFYHV6,0.1
black and white checkered curtains 2 panels,B07R92XLHD,1.0
black and white checkered curtains 2 panels,B07MFSQ77W,1.0
black and white checkered curtains 2 panels,B08BG9ZT2F,1.0
black and white checkered curtains 2 panels,B07DGSMTL8,1.0
black and white checkered curtains 2 panels,B07B3QFGL3,1.0
black and white checkered curtains 2 panels,B0733S4HB2,1.0
black and white checkered curtains 2 panels,B01N0OS92W,0.1
black and white checkered curtains 2 panels,B01N0OS6IU,0.1
black and white checkered curtains 2 panels,B018YG6X7K,1.0
black and white checkered curtains 2 panels,B00KKOXZLM,0.1
black and white checkered curtains 2 panels,B07L6LBVLL,0.1
body shop gift set for men,B07QNVTMW8,0.1
body shop gift set for men,B07QNVB6JY,0.1
body shop gift set for men,B07GL93SL6,1.0
body shop gift set for men,B07GKYGGN1,0.1
body shop gift set for men,B07GKRJP71,1.0
body shop gift set for men,B07FSD7RMY,0.1
body shop gift set for men,B0764J1FXX,0.1
body shop gift set for men,B07TLZ1V12,1.0
body shop gift set for men,B01JIVOBYW,1.0
body shop gift set for men,B01JIVNTEA,1.0
body shop gift set for men,B01DVJ66H2,0.0
body shop gift set for men,B00DYYKSRO,0.1
body shop gift set for men,B00COLNTI8,0.1
body shop gift set for men,B002K8W58K,0.1
body shop gift set for men,B000Y81MHS,0.1
body shop gift set for men,B0738LZPSS,0.1
boho earrings,B07S33GSH4,0.1
boho earrings,B07YYW6TS4,1.0
boho earrings,B07V6XHV2G,1.0
boho earrings,B0882SXWXJ,1.0
boho earrings,B07V3DB774,1.0
boho earrings,B07TTHXBS7,1.0
boho earrings,B07SRBX5VX,1.0
boho earrings,B07RFQ9583,1.0
boho earrings,B076B7XRCS,0.1
boho earrings,B07BPTVGTF,1.0
boho earrings,B07BJKX9GR,0.1
boho earrings,B077X3GXCL,1.0
boho earrings,B07747X7XC,1.0
boho earrings,B074QN4Z63,1.0
boho earrings,B01N3ZGBSE,1.0
boho earrings,B07RBLLSJH,1.0
boo costume monsters inc,B00NQJWJW4,0.1
boo costume monsters inc,B07QY83LGT,0.1
boo costume monsters inc,B079H2F4YV,0.1
boo costume monsters inc,B079584BCF,0.1
boo costume monsters inc,B01MUGKSMD,1.0
boo costume monsters inc,B015HR7PDA,0.1
boo costume monsters inc,B00OY2QE8C,0.1
boo costume monsters inc,B00L5E15NQ,0.1
boo costume monsters inc,B00A7QKI9U,0.1
boo costume monsters inc,B00GSV7MEC,0.1
boo costume monsters inc,B00FK4TXZ4,0.1
boo costume monsters inc,B00E8X4UEC,0.1
boo costume monsters inc,B00BI2RAGQ,0.1
boo costume monsters inc,B00BI2BYY0,0.1
boo costume monsters inc,B00BI1JAC4,0.1
boo costume monsters inc,B00K19DPS4,0.1
bookshelf 4 tier,B07M7LW8G5,1.0
bookshelf 4 tier,B0852Z5SSY,1.0
bookshelf 4 tier,B07RW5N7JB,1.0
bookshelf 4 tier,B07R5H6LF9,1.0
bookshelf 4 tier,B07QWW2WZD,1.0
bookshelf 4 tier,B07PKSXDPQ,1.0
bookshelf 4 tier,B07CVBWY8J,1.0
bookshelf 4 tier,B07XM74MQN,1.0
bookshelf 4 tier,B076X7Q626,1.0
bookshelf 4 tier,B074NHT1SM,0.1
bookshelf 4 tier,B074MTMZL6,1.0
bookshelf 4 tier,B06W5JNJP5,1.0
bookshelf 4 tier,B00ZPPNZ0W,1.0
bookshelf 4 tier,B0056FO992,1.0
bookshelf 4 tier,B078JSKYFV,0.1
bookshelf 4 tier,B002JM8TIM,1.0
bose headphones replacement cord,B07V2YH953,0.1
bose headphones replacement cord,B081ZRQFVD,1.0
bose headphones replacement cord,B081DL9WF2,1.0
bose headphones replacement cord,B07Z5XT2G9,1.0
bose headphones replacement cord,B07YDSCPB1,1.0
bose headphones replacement cord,B07XP2XQ11,1.0
bose headphones replacement cord,B07VGDVNJT,1.0
bose headphones replacement cord,B07Q875HJY,1.0
bose headphones replacement cord,B06Y46MRFK,1.0
bose headphones replacement cord,B07GBNS9M9,0.1
bose headphones replacement cord,B01MTO8YJY,0.1
bose headphones replacement cord,B01FQUAR1K,1.0
bose headphones replacement cord,B0130LE8E4,1.0
bose headphones replacement cord,B00QGFEIK6,1.0
bose headphones replacement cord,B00OGA2R7Y,1.0
bose headphones replacement cord,B07KWXJSWR,1.0
boys smart watch,B086271FQM,1.0
boys smart watch,B085GCKT6R,1.0
boys smart watch,B0823WKDBC,1.0
boys smart watch,B0823CDF3Y,1.0
boys smart watch,B07Z7XLTD7,1.0
boys smart watch,B07YWRXVP6,1.0
boys smart watch,B07XFD83J2,1.0
boys smart watch,B084VMVL9X,1.0
boys smart watch,B07SK1SF81,1.0
boys smart watch,B07RNYC69S,1.0
boys smart watch,B07RK8Q98N,1.0
boys smart watch,B07NQX2ZSN,1.0
boys smart watch,B072JXVTKT,1.0
boys smart watch,B071ZJD9SV,1.0
boys smart watch,B00HYUSQW8,0.1
boys smart watch,B07TCDQYB2,1.0
bra shiny,B07NZHDY9P,1.0
bra shiny,B0837FFKZ7,0.1
bra shiny,B07X6J9LN9,1.0
bra shiny,B07X5Z8R4X,0.1
bra shiny,B07TDVVB3X,0.1
bra shiny,B07SD22DZN,0.1
bra shiny,B07MW16JHZ,1.0
bra shiny,B07N181T2J,1.0
bra shiny,B07CZDXPPK,0.1
bra shiny,B07KZWTVBH,0.1
bra shiny,B078SJ9Q8F,1.0
bra shiny,B075V4M4RQ,0.01
bra shiny,B06XHPSNSP,0.1
bra shiny,B018LU2NA0,0.1
bra shiny,B00J4MOPO2,1.0
bra shiny,B0012DPHS4,0.0
